Label ;Description;FORMAT;Values
POINT_ID;Point code;Number;
X_LAEA;Latitude of the theoretical point (ref LAEA);Number;
Y_LAEA;Longitude of the theoretical point (ref LAEA);Number;
STRATA;stratum 1 assigned after photointerpretation;Number;"1= arable
2= permanent crops
3= grassland
4= woodland and shrubland
5= bareland
6= artificial
7= water"
STRATA2;stratum 2 assigned after photointerpretation;Number;See strata
NUTS0;level 0 of the standard NUTS classification;text;See file 'Nuts_area.xls' for the legend of the code
NUTS1;1st level of the standard NUTS classification;text;See file 'Nuts_area.xls' for the legend of the code
NUTS2;2nd level of the standard NUTS classification;text;See file 'Nuts_area.xls' for the legend of the code
SURV_DATE;Date of survey;Date;dd/mm/yy
OBSERVED;Observation of the point;Number;"1=point is observed;
2=Point is not visible; 
3=point in marine sea; 
4=point out of national territory"
OBS_TYPE;Type of observation ;Number;"1=field survey - point visible at a distance less than 100  m; 
2=field survey - point visible at a distance more than 100m; 
3= photo interpreted in the field since point not visible; 
4= point not surveyed"
GPS_PROJ;GPS Reference Projection System;Text;WGS84
GPS_PREC;GPS precision;Number;Expressed in meters
GPS_Y_LAT;GPS Latitude;Number;
GPS_EW;GPS East/West;Text;E, W or 8
GPS_X_LONG;GPS Longitude;Number;
OBS_DIST;Distance from the point (based on GPS coordinates);Number;Expressed in meters
Y_LAT;Theoretical Latitude;Number;
EW;Theoretical East/West;Text;E or W
X_LONG;Theoretical Longitude;Number;
OBS_DIST;Distance from the point (based on GPS coordinates);Number;Expressed in meters
OBS_DIRECT;Observation direction;Number;"1=on the point; 
2= look to north rule applied; 
3= look to east rule applied; 
8=not relevant"
LC1;Land Cover 1;Text;See file 'Nomenclature_LC_LU_LC species' Annex1
LC2;Land Cover 2;Text;See file 'Nomenclature_LC_LU_LC species' Annex1
OBS_RADIUS;Observation radius;Number;"1= 1.5m; 
2=20m"
LU1;Land Use 1;Text;See file 'Nomenclature_LC_LU_LC species' Annex2
LU2;Land Use 2;Text;See file 'Nomenclature_LC_LU_LC species' Annex2
LC1_SPECIES;LC1 Species;Text;See file 'Nomenclature_LC_LU_LC species' Annex3
LC1_PERCENT;LC1 Percentage of coverage;Number;"1=less than 5%;
2=between 5% and 10%; 
3= between 10% and 25%; 
4= between 25% and 50%; 
5= between 50% and 75%;
6=more than 75%;
8=N.R."
LC2_SPECIES;LC2 Species;Text;see nomenclature attached
LC2_PERCENT;LC2 Percentage of coverage;Number;"1=less than 5%;
2=between 5% and 10%; 
3= between 10% and 25%; 
4= between 25% and 50%; 
5= between 50% and 75%;
6=more than 75%;
8=N.R."
AREA_SIZE;Size of the area;Number;"1=less than 0.5ha; 
2= between 0.5ha and 1ha; 
3= between 1ha and 10ha;
4= more than 10ha;
8= N.R."
TREE_HEIGHT_SURVEY;Height of trees;Number;"1= less than 5m; 
2=more than 5m; 
8= N.R."
TREE_HEIGHT_MATURITY;Height of trees at maturity;Number;"1= less than 5m; 
2=more than 5m; 
8= N.R."
FEATURE_WIDTH;Width of the features;Number;"1= less than 20m ;
2= more than 20m;
8= N.R."
LAND_MNGT;Land management;Number;"1= Signs of grazing;
2=not signs of grazing;
8=N.R."
LC_LU_SPECIAL_REMARK;Land Cover, Land Use special remarks;Number;"1= Tilled and/or sowed; 
2= Harvested field;
3= Clear cut; 
4= Burnt area; 
5= Fire break; 
6= Nursery; 
7= No remark"
SPECIAL_STATUS;Special Status;Number;"1= Protected; 
2= Hunting; 
3= Protected and hunting; 
4= No special status"
WM_WATER_MNGT;Presence of water management;Number;"1=irrigation; 
2=potential irrigation; 
3=drainage; 
4= irrigation and drainage; 
5=not visible water management; 
8=not relevant"
WM_SRC_IRRIGATION;Source of irrigation ;Number;"1=well;
2=pond/lake/reservoir; 
3=stream/canal/ditch; 
4=lagoon/wastewater; 
5=other/not identified; 
8=not relevant"
WM_TYP_IRRIGATION;Type of irrigation;Number;"1=gravity; 
2= pressure:sprinkler irrigation; 
3=pressure: micro-irrigation; 
4=gravity/pressure; 
5= other/not identifiable; 
8=not relevant"
WM_DELIVERY_SYST;Delivery system of irrigation;Number;"1=canal; 
2=ditch; 
3=pipeline; 
4=other/not identifiable; 
8=not relevant"
SOIL_SURVEY;Presence in the soil sample;Number;"1=soil sample taken; 
2= soil sample not taken; 
3= sample already taken in triplet; 
8= N.R."
SOIL_PLOUGH;Sign of ploughing;Number;"1=yes; 
2=not; 
8= not relevant"
SOIL_CROP;Percentage of crop residual ;Number;"1=less than 10%; 
2=between 10% and 25%; 
3= between 25% and 50%; 
4= more than 50%; 
8=not relevant"
SOIL_STONES;Percentage of stones;Number;"1=less than 10%; 
2=between 10% and 25%; 
3= between 25% and 50%; 
4= more than 50%; 
8=not relevant"
PHOTO_POINT;PHOTO of the POINT;Number;"1=taken; 
2=not taken; 
8=not relevant"
PHOTO_N;PHOTO North;Number;"1=taken; 
2=not taken; 
8=not relevant"
PHOTO_E;PHOTO East;Number;"1=taken; 
2=not taken; 
8=not relevant"
PHOTO_S;PHOTO South;Number;"1=taken; 
2=not taken; 
8=not relevant"
PHOTO_W;PHOTO West;Number;"1=taken; 
2=not taken; 
8=not relevant"
