X2006,X2009,X2012,X2015,USE
POINT_ID,POINT_ID,POINT_ID,POINT_ID,PID
X_LAEA,X_LAEA,X_LAEA,NA,X_LAEA
Y_LAEA,Y_LAEA,Y_LAEA,NA,Y_LAEA
NA,STRATA,STRATA,NA,STRATA
NUTS0,NUTS0,NUTS0,NA,NUTS0
NUTS1,NUTS1,NUTS1,NA,NUTS1
NUTS2,NUTS2,NUTS2,NA,NUTS2
NA,AREA2,AREA2,NA,AREA2
NA,WH,WH,NA,WH
NA,PESO_F2,PESO_F2,NA,PESO_F2
SURV_DATE,SURV_DATE,SURV_DATE,SURVEY_DATE,DATE
NA,OBSERVED,OBSERVED,NA,OBS
OBS_TYPE,OBS_TYPE,OBS_TYPE,SURVEY_OBS_TYPE,OBS_TYPE
GPS_PROJ,GPS_PROJ,GPS_PROJ,SURVEY_GPS_PROJ,GPS_PROJ
GPS_PREC,GPS_PREC,GPS_PREC,SURVEY_GPS_PREC,GPS_PREC
GPS_LAT,GPS_Y_LAT,GPS_Y_LAT,SURVEY_GPS_LAT,GPS_LAT
GPS_EW,GPS_EW,GPS_EW,SURVEY_GPS_EW,GPS_EW
GPS_LONG,GPS_X_LONG,GPS_X_LONG,SURVEY_GPS_LONG,GPS_LONG
NA,Y_LAT,Y_LAT,NA,Y_LAT
NA,EW,EW,NA,EW
NA,X_LONG,X_LONG,NA,X_LONG
OBS_DIST,OBS_DIST,OBS_DIST,SURVEY_OBS_DIST,OBS_DIST
OBS_DIRECT,OBS_DIRECT,OBS_DIRECT,SURVEY_OBS_DIRECT,OBS_DIRE
LC1,LC1,LC1,SURVEY_LC1,LC1
LC2,LC2,LC2,SURVEY_LC2,LC2
OBS_RADIUS,OBS_RADIUS,OBS_RADIUS,SURVEY_OBS_RADIUS,OBS_RAD
LU1,LU1,LU1,SURVEY_LU1,LU1
LU2,LU2,LU2,SURVEY_LU2,LU2
NA,LC1_SPECIES,LC1_SPECIES,SURVEY_LC1_SPECIES,LC1_SPEC
NA,LC1_PERCENT,LC1_PERCENT,SURVEY_LC1_PERCENT,LC1_PERC
NA,LC2_SPECIES,LC2_SPECIES,SURVEY_LC2_SPECIES,LC2_SPEC
NA,LC2_PERCENT,LC2_PERCENT,SURVEY_LC2_PERCENT,LC2_PERC
NA,NA,NA,SURVEY_LU1_TYPE,LU1_TYPE
NA,NA,NA,SURVEY_LU1_PERCENT,LU1_PERC
NA,NA,NA,SURVEY_LU2_TYPE,LU2_TYPE
NA,NA,NA,SURVEY_LU2_PERCENT,LU2_PERC
NA,AREA_SIZE,AREA_SIZE,SURVEY_AREA_SIZE,AREA_SIZE
NA,TREES_HEIGHT,TREE_HEIGHT_SURVEY,SURVEY_TREE_HEIGHT_SURVEY,TREE_H
NA,NA,TREE_HEIGHT_MATURITY,SURVEY_TREE_HEIGHT_MATURITY,TREE_H_MAT
NA,FEATURES_WIDTH,FEATURE_WIDTH,SURVEY_FEATURE_WIDTH,FEATURE_W
NA,LAND_MNGT,LAND_MNGT,SURVEY_LAND_MNGT,LAND_MNGT
NA,NA,LC_LU_SPECIAL_REMARK,SURVEY_LC_LU_SPECIAL_REMARK,REMARK
NA,NA,SPECIAL_STATUS,SURVEY_PROTECTED_AREA,STATUS
NA,WM_WATER_MNGT,WM_WATER_MNGT,SURVEY_WM,WM
NA,WM_SRC_IRRIGATION,WM_SRC_IRRIGATION,SURVEY_WM_SOURCE,WM_SRCE
NA,WM_TYP_IRRIGATION,WM_TYP_IRRIGATION,SURVEY_WM_TYPE,WM_TYPE
NA,WM_DELIVERY_SYST,WM_DELIVERY_SYST,SURVEY_WM_DELIVERY,WM_DELIV
NA,SOIL_SURVEY,SOIL_SURVEY,SURVEY_SOIL_TAKEN,SOIL_TAKN
NA,SOIL_PLOUGH,SOIL_PLOUGH,SURVEY_SOIL_PLOUGH,SOIL_PLGH
NA,SOIL_CROP,SOIL_CROP,SURVEY_SOIL_CROP,SOIL_CROP
NA,SOIL_STONES,SOIL_STONES,SURVEY_SOIL_STONES,SOIL_STNES
NA,SOIL_LABEL,NA,NA,SOIL_LABL
NA,PHOTO_POINT,PHOTO_POINT,SURVEY_PHOTO_P,PHOTO_PNT
NA,PHOTO_N,PHOTO_N,SURVEY_PHOTO_N,PHOTO_N
NA,PHOTO_E,PHOTO_E,SURVEY_PHOTO_E,PHOTO_E
NA,PHOTO_S,PHOTO_S,SURVEY_PHOTO_S,PHOTO_S
NA,PHOTO_W,PHOTO_W,SURVEY_PHOTO_W,PHOTO_W
NA,TR1,TR1,NA,TR1
NA,TR2,TR2,NA,TR2
NA,TR3,TR3,NA,TR3
NA,TR4,TR4,NA,TR4
NA,TR5,TR5,NA,TR5
NA,TR6,TR6,NA,TR6
NA,TR7,TR7,NA,TR7
NA,TR8,TR8,NA,TR8
NA,TR9,TR9,NA,TR9
NA,TR10,TR10,NA,TR10
NA,TR11,TR11,NA,TR11
NA,TR12,TR12,NA,TR12
NA,TR13,TR13,NA,TR13
NA,TR14,TR14,NA,TR14
NA,TR15,TR15,NA,TR15
NA,TR16,TR16,NA,TR16
NA,TR17,TR17,NA,TR17
NA,TR18,TR18,NA,TR18
NA,TR19,TR19,NA,TR19
NA,TR20,TR20,NA,TR20
NA,TR21,TR21,NA,TR21
NA,TR22,TR22,NA,TR22
NA,TR23,TR23,NA,TR23
NA,TR24,TR24,NA,TR24
NA,TR25,TR25,NA,TR25
NA,TR26,TR26,NA,TR26
NA,TR27,TR27,NA,TR27
NA,TR28,TR28,NA,TR28
NA,TR29,TR29,NA,TR29
NA,TR30,TR30,NA,TR30
NA,TR31,TR31,NA,TR31
NA,TR32,TR32,NA,TR32
NA,TR33,TR33,NA,TR33
NA,TR34,TR34,NA,TR34
NA,TR35,TR35,NA,TR35
NA,TR36,TR36,NA,TR36
NA,TR37,TR37,NA,TR37
NA,TR38,TR38,NA,TR38
NA,TR39,TR39,NA,TR39
NA,TR40,TR40,NA,TR40
NA,TR41,TR41,NA,TR41
NA,TR42,TR42,NA,TR42
NA,TR43,TR43,NA,TR43
NA,TR44,TR44,NA,TR44
NA,TR45,TR45,NA,TR45
NA,TR46,TR46,NA,TR46
NA,TR47,TR47,NA,TR47
NA,TR48,TR48,NA,TR48
NA,TR49,TR49,NA,TR49
NA,TR50,TR50,NA,TR50
NA,TR51,TR51,NA,TR51
NA,TR52,TR52,NA,TR52
NA,TR53,TR53,NA,TR53
NA,TR54,TR54,NA,TR54
NA,TR55,TR55,NA,TR55
NA,TR56,TR56,NA,TR56
NA,TR57,TR57,NA,TR57
NA,TR58,TR58,NA,TR58
NA,TR59,TR59,NA,TR59
NA,TR60,TR60,NA,TR60
NA,TR61,TR61,NA,TR61
NA,TR62,TR62,NA,TR62
NA,TR63,TR63,NA,TR63
NA,TR64,TR64,NA,TR64
NA,TR65,TR65,NA,TR65
NA,TR66,TR66,NA,TR66
NA,TR67,TR67,NA,TR67
NA,TR68,TR68,NA,TR68
NA,TR69,TR69,NA,TR69
NA,TR70,TR70,NA,TR70
NA,TR71,TR71,NA,TR71
NA,NA,TR72,NA,TR72
NA,NA,TR73,NA,TR73
NA,NA,TR74,NA,TR74
NA,NA,TR75,NA,TR75
NA,NA,TR76,NA,TR76
NA,NA,TR77,NA,TR77
NA,NA,TR78,NA,TR78
NA,NA,TR79,NA,TR79
NA,NA,TR80,NA,TR80
NA,NA,NA,PI_EXTENTION,PI_EXT
NA,NA,NA,SURVEY_GPS_ALTITUDE,GPS_ALTI
NA,NA,NA,SURVEY_INSPIRE_PLCC1,INSPIRE_1
NA,NA,NA,SURVEY_INSPIRE_PLCC2,INSPIRE_2
NA,NA,NA,SURVEY_INSPIRE_PLCC3,INSPIRE_3
NA,NA,NA,SURVEY_INSPIRE_PLCC4,INSPIRE_4
NA,NA,NA,SURVEY_INSPIRE_PLCC5,INSPIRE_5
NA,NA,NA,SURVEY_INSPIRE_PLCC6,INSPIRE_6
NA,NA,NA,SURVEY_INSPIRE_PLCC7,INSPIRE_7
NA,NA,NA,SURVEY_INSPIRE_PLCC8,INSPIRE_8
NA,NA,NA,SURVEY_TRANSECT,TRANSECT
